MedienArt,Titel,Sprache,Untertitel,Jahr,Verlag,Ort,ISBN,Reihe,Band,Jahrgang,Monat,Heftnummer,Sonderheft
Buch,Harry Potter: Magisch Stricken,deutsch,,,,,978-37724-4830-0,,,,,,
Buch,Bunte Nadelkissen,deutsch,Einfach selbst genäht,,,,,,,,,,
Buch,Burda Stricklehrbuch,deutsch,,,,,,,,,,,
Buch,Faszination Makramee,deutsch,,,,,,,,,,,
Buch,Geschenke für Mutti selbstgemacht,deutsch,,,,,,,,,,,
Buch,Japanisch Quilten,deutsch,39 Projekte in edlem Blau,,,,,,,,,,
Buch,L‘atelier du fil,französisch,"couture, broderie, appliqué, tricot et perles",,,,,,,,,,
Buch,omiyage,,,,,,,,,,,,
Buch,stricken à la carte,deutsch,,,,,,,,,,,
Zeitschrift,Accessoires,deutsch,,,,,,,,2019,,2019,
Zeitschrift,Andrea Kreativ,deutsch,Puppenmode,,,,,,,,,554,
Zeitschrift,Andrea Kreativ,deutsch,Puppenmode spezial,,,,,,,,,552,true
Zeitschrift,Anna,deutsch,,,,,,,,2007,10,10/2007,
Zeitschrift,Anna,deutsch,,,,,,,,2007,11,11/2007,
Zeitschrift,Anna,deutsch,,,,,,,,2007,12,12/2007,
Zeitschrift,Anna,deutsch,,,,,,,,2007,9,9/2007,
Zeitschrift,Anna,deutsch,,,,,,,,2009,4,04/2009,
Zeitschrift,Anna,deutsch,,,,,,,,2010,3,03/2010,
Zeitschrift,Anna,deutsch,,,,,,,,2010,12,12/2010,
Zeitschrift,Anna,deutsch,,,,,,,,2011,0,04/2011,
Zeitschrift,Anna,deutsch,,,,,,,,2012,1,1/2012,
Zeitschrift,Anna,deutsch,,,,,,,,2019,4,4/2019,
Zeitschrift,Anna,deutsch,,,,,,,,2020,5,5/2020,
Zeitschrift,Anna,deutsch,,,,,,,,2020,7,7/2020,
Zeitschrift,Anna,deutsch,,,,,,,,2020,8,8/2020,
Zeitschrift,Burda,deutsch,accessoires,,,,,,,2018,5,5/2018,
Zeitschrift,Burda,deutsch,easy,,,,,,,2019,2,2/2019,
Zeitschrift,Burda Patchwork,deutsch,Best of Burda Patchwork,,,,,,,2018,,Herbst/2018,true
Zeitschrift,Burda style,deutsch,,,,,,,,2020,10,10/2020,
Buch,Das große Buch der Handarbeiten,deutsch,,,Gruner & Jahr,Hamburg,,Das große Buch der Handarbeiten,10,,,,
Buch,Japanische Handschuhe stricken,deutsch,50 neue Projekte vom Strick-Sensei,2019,Stiebner,Grünwald,978-3-8307-0999-2,,,,,,
Buch,English Paper Peircing,englisch,Muster aus geometrischen Formen,2011,Christopherus,Feiburg,978-3-8410-6081-5,,,,,,
